Reporter;TradeFlow;ProductCode;Product Description;Year;Partner;Trade Value 1000USD;Quantity;Quantity Unit
Yemen;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          21168.02;2.47049e+006;Item
Namibia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          20136.70;342324;Item
Zimbabwe;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          20074.06;407696;Item
New Caledonia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          18467.62;313949;Item
Uganda;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          18452.23;539171;Item
Trinidad and Tobago;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          16949.83;567951;Item
Brunei;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          16292.70;376271;Item
North Macedonia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          14859.58;410310;Item
El Salvador;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          14629.43;297117;Item
Tanzania;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          14010.76;238183;Item
Mozambique;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          11929.85;;
Armenia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          11761.92;503082;Item
Azerbaijan;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          11734.17;806137;Item
Honduras;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          11474.71;195070;Item
Moldova;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          10151.92;331047;Item
Zambia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           9758.45;198190;Item
Albania;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           9448.26;207570;Item
Nicaragua;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           9325.79;158538;Item
Mauritius;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           9192.86;238956;Item
Cote d'Ivoire;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           9016.64;183124;Item
Andorra;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           8954.71;181866;Item
Botswana;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           8192.39;298134;Item
Rwanda;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           8117.35;164860;Item
Malawi;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           7289.03;148037;Item
Montenegro;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           7200.95;188034;Item
Nepal;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           6936.92;194184;Item
Kyrgyz Republic;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           5930.04;134692;Item
Fiji;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           5615.51;118609;Item
Tunisia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           5561.72;94127;Item
French Polynesia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;           5440.60;115688;Item
